iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
184,-0.0029450892470777035,751.16943359375,1.5732001066207886,-34.015716552734375,5.394220181642595e-08,50,,,,,
185,-0.005979986395686865,9636.8193359375,1.573370099067688,3.090777635574341,-7.450580707946131e-10,50,,,,,
186,-0.007635359652340412,844.2784423828125,1.573957920074463,-44.027530670166016,1.2516975012033527e-08,50,,,,,
187,-0.013403501361608505,1938.828125,1.575533390045166,-61.451194763183594,8.225440950582197e-08,50,,,,,
188,0.0011034202761948109,1067.281494140625,1.577363133430481,-30.268484115600586,3.278255444882916e-09,50,,,,,
189,-0.00034559250343590975,1755.264404296875,1.5784580707550049,-46.25218200683594,3.457069297496673e-08,50,,,,,
190,-0.004437093622982502,515.5731201171875,1.5788400173187256,-39.45396423339844,1.1920929132713809e-08,50,0.0,0.0,1.0,62.8535375174135,60.0
191,-0.0006492901011370122,407.3772277832031,1.5791085958480835,-21.99675750732422,6.705522359595761e-09,50,,,,,
192,-0.003953290171921253,21415.068359375,1.5791631937026978,35.53532409667969,1.7285346487483366e-08,50,,,,,
193,0.00036908627953380346,1005.6875610351562,1.5795512199401855,-52.90106964111328,2.2411346378703456e-07,50,,,,,
194,-0.0004918181803077459,609.7304077148438,1.580603003501892,-38.58221435546875,1.7881394143159923e-08,50,,,,,
195,-0.0032807730603963137,344.18597412109375,1.58160400390625,-11.423187255859375,1.3470649662394862e-07,50,,,,,
196,-0.0015358066884800792,602.432861328125,1.5822193622589111,-40.563575744628906,-8.344650304081824e-09,50,,,,,
197,-0.009655723348259926,609.2130126953125,1.5824761390686035,-35.58406066894531,5.424022830879949e-08,50,,,,,
198,-0.0005220651510171592,822.8485717773438,1.5823265314102173,-42.644474029541016,2.7418137094059603e-08,50,,,,,
199,-0.005441875662654638,1668.393798828125,1.58189058303833,-62.053104400634766,-4.76837147544984e-09,50,,,,,
200,-0.0011960029369220138,1184.85498046875,1.5820746421813965,-55.343910217285156,-2.1457672971791908e-08,50,0.0,0.0,1.0,5.888114567101002,60.0
201,-0.00033837795490399003,897.8529052734375,1.5824850797653198,-33.929412841796875,0.0,50,,,,,
202,-0.00017073153867386281,929.3869018554688,1.582788109779358,-36.036865234375,3.099441414633475e-08,50,,,,,
203,-0.0074378205463290215,20053.298828125,1.583389163017273,41.72586441040039,4.440546064188311e-08,50,,,,,
204,0.0004094028554391116,677.8054809570312,1.5842616558074951,-25.62914276123047,2.4586915614577265e-08,50,,,,,
205,-0.0027203464414924383,12792.69921875,1.5855183601379395,12.834458351135254,-7.03334777085729e-08,50,,,,,
206,-0.002417507115751505,990.1881103515625,1.5866471529006958,-44.31617736816406,5.3048132997446373e-08,50,,,,,
207,-0.007052216678857803,547.5695190429688,1.5875893831253052,-43.44032287597656,-1.19209286886246e-09,50,,,,,
208,-0.0003545093641150743,527.1218872070312,1.588455080986023,-20.748048782348633,-1.4081597221604625e-08,50,,,,,
209,-0.006213541142642498,9838.1064453125,1.5895386934280396,2.427025556564331,-9.983778248567887e-09,50,,,,,
210,-0.0016242980491369963,876.0621948242188,1.5903871059417725,-32.097747802734375,-5.573034300709878e-08,50,0.0,1.0,0.0,-27.077374332398175,31.1
211,0.00012123262422392145,1856.7994384765625,1.5908374786376953,-67.78632354736328,-7.2492136737878354e-09,37,,,,,
212,-0.0036475921515375376,1020.02392578125,1.5914890766143799,-47.50639343261719,-2.9802322831784522e-09,50,,,,,
213,-0.022854572162032127,649.9981689453125,1.5921746492385864,-32.39585876464844,-5.9604643443123e-10,50,,,,,
214,-0.0072316695004701614,3007.597900390625,1.5920460224151611,-13.083891868591309,4.373490725129159e-08,50,,,,,
215,-0.010040457360446453,1252.9554443359375,1.591821312904358,-59.9091911315918,1.907348590179936e-08,50,,,,,
216,-0.0005735111190006137,971.2664184570312,1.591789960861206,-36.89974594116211,1.4305114426349519e-08,50,,,,,
217,-0.0005651688552461565,372.2032775878906,1.5917187929153442,-28.111547470092773,-2.9802322831784522e-09,50,,,,,
218,-0.0016961002256721258,579.4540405273438,1.5919729471206665,-27.464624404907227,6.806105545820174e-08,50,,,,,
219,-0.0036367892753332853,1640.114013671875,1.5925832986831665,-28.6286678314209,3.9041040622578294e-08,50,,,,,
220,-0.00032888411078602076,922.4664306640625,1.5930943489074707,-31.27719497680664,2.9206276508375595e-08,50,0.0,0.85,0.15,-17.90637238174677,39.2
221,-0.0017068958841264248,2208.759765625,1.593940258026123,-43.657386779785156,-2.562999767974361e-08,50,,,,,
222,-0.0016671371413394809,1925.217529296875,1.5949031114578247,-36.68418502807617,7.1525572131747595e-09,50,,,,,
223,-0.004445505328476429,9421.5654296875,1.5955640077590942,5.096035003662109,3.039836826701503e-08,50,,,,,
224,-0.002719680080190301,502.4917907714844,1.595939040184021,-34.298187255859375,3.1590460025654465e-08,50,,,,,
225,-0.004776873625814915,1107.2327880859375,1.5959694385528564,-49.933345794677734,4.5299529460862686e-08,50,,,,,
226,-0.002775027649477124,775.1278686523438,1.5959503650665283,-40.48367691040039,8.344650304081824e-09,50,,,,,
227,-0.004459319170564413,687.1615600585938,1.5959566831588745,-43.01335144042969,2.6822089438383045e-08,50,,,,,
228,-0.0007529735448770225,10187.255859375,1.596260666847229,11.198102951049805,-1.2814998839871805e-08,50,,,,,
229,-0.0005845832638442516,509.2801513671875,1.59666109085083,-37.86103820800781,1.4305114426349519e-08,50,,,,,
230,-0.003190631978213787,11169.19921875,1.5965962409973145,-2.5980167388916016,-6.087124404530186e-08,50,0.0,0.0,1.0,105.35823044329882,60.0
